,order_id,product
4832,181177,Lightning Charging Cable
4833,181177,Vareebadd Phone
4836,181180,Vareebadd Phone
4837,181180,USB-C Charging Cable
4868,181211,Vareebadd Phone
4869,181211,Wired Headphones
4878,181220,27in 4K Gaming Monitor
4879,181220,Apple Airpods Headphones
4917,181257,iPhone
4918,181257,Wired Headphones
4923,181262,AAA Batteries (4-pack)
4924,181262,Google Phone
4928,181266,iPhone
4929,181266,Wired Headphones
4979,181315,Google Phone
4980,181315,USB-C Charging Cable
4992,181327,27in FHD Monitor
4993,181327,AAA Batteries (4-pack)
4994,181328,AAA Batteries (4-pack)
4995,181328,USB-C Charging Cable
5037,181370,iPhone
5038,181370,USB-C Charging Cable
5060,181392,Vareebadd Phone
5061,181392,USB-C Charging Cable
5071,181402,AA Batteries (4-pack)
5072,181402,AAA Batteries (4-pack)
5082,181412,Vareebadd Phone
5083,181412,USB-C Charging Cable
5090,181419,Apple Airpods Headphones
5091,181419,34in Ultrawide Monitor
5107,181435,AAA Batteries (4-pack)
5108,181435,AA Batteries (4-pack)
5149,181476,Vareebadd Phone
5150,181476,Wired Headphones
5189,181515,Google Phone
5190,181515,Wired Headphones
5232,181557,Google Phone
5233,181557,USB-C Charging Cable
5337,181660,AAA Batteries (4-pack)
5338,181660,Bose SoundSport Headphones
5375,181697,Google Phone
5376,181697,USB-C Charging Cable
5486,181807,iPhone
5487,181807,Lightning Charging Cable
5499,181819,Vareebadd Phone
5500,181819,Wired Headphones
5504,181823,Bose SoundSport Headphones
5505,181823,AAA Batteries (4-pack)
5525,181843,iPhone
5526,181843,Apple Airpods Headphones
5545,181862,iPhone
5546,181862,Apple Airpods Headphones
5589,181904,iPhone
5590,181904,Lightning Charging Cable
5603,181917,Google Phone
5604,181917,USB-C Charging Cable
5623,181936,iPhone
5624,181936,Lightning Charging Cable
5629,181941,Wired Headphones
5630,181941,Lightning Charging Cable
5668,181979,Vareebadd Phone
5669,181979,USB-C Charging Cable
5689,181999,Apple Airpods Headphones
5690,181999,Wired Headphones
5715,182024,Google Phone
5716,182024,Bose SoundSport Headphones
5719,182027,AA Batteries (4-pack)
5720,182027,Apple Airpods Headphones
5736,182043,34in Ultrawide Monitor
5737,182043,Wired Headphones
5754,182060,iPhone
5755,182060,Lightning Charging Cable
5783,182087,AAA Batteries (4-pack)
5784,182087,27in FHD Monitor
5790,182093,Bose SoundSport Headphones
5791,182093,AAA Batteries (4-pack)
5797,182099,Google Phone
5798,182099,USB-C Charging Cable
5799,182100,Lightning Charging Cable
5800,182100,AAA Batteries (4-pack)
5825,182125,iPhone
5826,182125,Lightning Charging Cable
5837,182136,20in Monitor
5838,182136,Lightning Charging Cable
5849,182147,Vareebadd Phone
5850,182147,USB-C Charging Cable
5861,182158,Bose SoundSport Headphones
5862,182158,ThinkPad Laptop
5872,182168,AA Batteries (4-pack)
5873,182168,Apple Airpods Headphones
5881,182176,USB-C Charging Cable
5882,182176,AA Batteries (4-pack)
5921,182215,27in FHD Monitor
5922,182215,Bose SoundSport Headphones
5947,182240,iPhone
5948,182240,Lightning Charging Cable
6082,182374,iPhone
6083,182374,Apple Airpods Headphones
6094,182385,AA Batteries (4-pack)
6095,182385,Apple Airpods Headphones
6096,182386,AA Batteries (4-pack)
6097,182386,USB-C Charging Cable
6133,182420,iPhone
6134,182420,Apple Airpods Headphones
6142,182428,Google Phone
6143,182428,USB-C Charging Cable
6158,182443,iPhone
6159,182443,Lightning Charging Cable
6217,182501,Google Phone
6218,182501,USB-C Charging Cable
6240,182523,iPhone
6241,182523,Lightning Charging Cable
6249,182530,iPhone
6250,182530,Lightning Charging Cable
6288,182568,iPhone
6289,182568,Apple Airpods Headphones
6365,182643,iPhone
6366,182643,Wired Headphones
6391,182668,Apple Airpods Headphones
6392,182668,AAA Batteries (4-pack)
6416,182692,AA Batteries (4-pack)
6417,182692,Lightning Charging Cable
6440,182713,20in Monitor
6441,182713,Macbook Pro Laptop
6449,182721,iPhone
6450,182721,Lightning Charging Cable
6460,182731,iPhone
6461,182731,Wired Headphones
6465,182735,AAA Batteries (4-pack)
6466,182735,Wired Headphones
6483,182752,Bose SoundSport Headphones
6484,182752,27in FHD Monitor
6488,182756,Apple Airpods Headphones
6489,182756,Wired Headphones
6499,182766,Google Phone
6500,182766,Wired Headphones
6510,182776,Google Phone
6511,182776,USB-C Charging Cable
6544,182809,Macbook Pro Laptop
6545,182809,AA Batteries (4-pack)
6582,182846,iPhone
6583,182846,Lightning Charging Cable
6589,182852,AA Batteries (4-pack)
6590,182852,Lightning Charging Cable
6629,182891,27in 4K Gaming Monitor
6630,182891,Bose SoundSport Headphones
6631,182892,USB-C Charging Cable
6632,182892,AAA Batteries (4-pack)
6641,182901,Google Phone
6642,182901,USB-C Charging Cable
6647,182905,Lightning Charging Cable
6648,182905,Google Phone
6651,182908,Google Phone
6652,182908,USB-C Charging Cable
6653,182908,Wired Headphones
6662,182917,iPhone
6663,182917,USB-C Charging Cable
6733,182987,iPhone
6734,182987,Lightning Charging Cable
6762,183014,Google Phone
6763,183014,Wired Headphones
6765,183016,Google Phone
6766,183016,USB-C Charging Cable
6767,183016,Wired Headphones
6785,183034,iPhone
6786,183034,Lightning Charging Cable
6811,183059,ThinkPad Laptop
6812,183059,USB-C Charging Cable
6838,183085,iPhone
6839,183085,Lightning Charging Cable
6847,183093,Apple Airpods Headphones
6848,183093,ThinkPad Laptop
6877,183122,Google Phone
6878,183122,USB-C Charging Cable
6896,183140,Google Phone
6897,183140,USB-C Charging Cable
6903,183146,iPhone
6904,183146,Lightning Charging Cable
6907,183149,Apple Airpods Headphones
6908,183149,27in 4K Gaming Monitor
6936,183177,iPhone
6937,183177,Lightning Charging Cable
6978,183217,USB-C Charging Cable
6979,183217,Lightning Charging Cable
6980,183218,Apple Airpods Headphones
6981,183218,AA Batteries (4-pack)
6983,183220,iPhone
6984,183220,Lightning Charging Cable
6994,183230,Google Phone
6995,183230,Bose SoundSport Headphones
7080,183315,Google Phone
7081,183315,USB-C Charging Cable
7091,183325,Vareebadd Phone
7092,183325,USB-C Charging Cable
7109,183342,Vareebadd Phone
7110,183342,Wired Headphones
7129,183361,iPhone
7130,183361,Lightning Charging Cable
7131,183361,Apple Airpods Headphones
7153,183383,iPhone
7154,183383,34in Ultrawide Monitor
7209,183436,iPhone
7210,183436,Lightning Charging Cable
7211,183436,Wired Headphones
7227,183452,20in Monitor
7228,183452,USB-C Charging Cable
7230,183454,iPhone
7231,183454,Apple Airpods Headphones
7245,183468,Google Phone
7246,183468,USB-C Charging Cable
7257,183479,Vareebadd Phone
7258,183479,USB-C Charging Cable
7282,183503,iPhone
7283,183503,Lightning Charging Cable
7286,183506,Apple Airpods Headphones
7287,183506,AAA Batteries (4-pack)
7319,183538,AAA Batteries (4-pack)
7320,183538,27in FHD Monitor
7346,183564,USB-C Charging Cable
7347,183564,AA Batteries (4-pack)
7354,183571,Vareebadd Phone
7355,183571,Bose SoundSport Headphones
7407,183622,Google Phone
7408,183622,Wired Headphones
7427,183641,iPhone
7428,183641,Lightning Charging Cable
7465,183678,AA Batteries (4-pack)
7466,183678,Lightning Charging Cable
7515,183726,iPhone
7516,183726,Apple Airpods Headphones
7523,183733,iPhone
7524,183733,Wired Headphones
7623,183831,Google Phone
7624,183831,Bose SoundSport Headphones
7662,183868,Google Phone
7663,183868,AA Batteries (4-pack)
7766,183971,iPhone
7767,183971,Vareebadd Phone
7817,184021,Google Phone
7818,184021,USB-C Charging Cable
7819,184022,Google Phone
7820,184022,USB-C Charging Cable
7852,184054,Google Phone
7853,184054,USB-C Charging Cable
7854,184055,iPhone
7855,184055,Lightning Charging Cable
7897,184097,Google Phone
7898,184097,Wired Headphones
7946,184145,Lightning Charging Cable
7947,184145,USB-C Charging Cable
7956,184154,Google Phone
7957,184154,USB-C Charging Cable
7960,184157,AA Batteries (4-pack)
7961,184157,Bose SoundSport Headphones
7970,184166,AA Batteries (4-pack)
7971,184166,27in FHD Monitor
7977,184172,Google Phone
7978,184172,USB-C Charging Cable
8027,184221,iPhone
8028,184221,Wired Headphones
8059,184252,ThinkPad Laptop
8060,184252,Bose SoundSport Headphones
8080,184272,iPhone
8081,184272,Lightning Charging Cable
8090,184281,iPhone
8091,184281,Apple Airpods Headphones
8144,184334,20in Monitor
8145,184334,Bose SoundSport Headphones
8258,184447,iPhone
8259,184447,Lightning Charging Cable
8272,184460,iPhone
8273,184460,Wired Headphones
8285,184472,iPhone
8286,184472,Bose SoundSport Headphones
8317,184503,iPhone
8318,184503,Lightning Charging Cable
8392,184577,iPhone
8393,184577,Lightning Charging Cable
8434,184618,Google Phone
8435,184618,USB-C Charging Cable
8438,184621,iPhone
8439,184621,Lightning Charging Cable
8453,184635,Vareebadd Phone
8454,184635,Bose SoundSport Headphones
8489,184670,Wired Headphones
8490,184670,20in Monitor
8530,184710,iPhone
8531,184710,Wired Headphones
8533,184712,Lightning Charging Cable
8534,184712,AA Batteries (4-pack)
8552,184729,Vareebadd Phone
8553,184729,Wired Headphones
8557,184733,Google Phone
8558,184733,Bose SoundSport Headphones
8559,184734,Google Phone
8560,184734,Bose SoundSport Headphones
8584,184758,iPhone
8585,184758,Lightning Charging Cable
8592,184765,Google Phone
8593,184765,USB-C Charging Cable
8623,184795,iPhone
8624,184795,Wired Headphones
8660,184828,Vareebadd Phone
8661,184828,USB-C Charging Cable
8665,184832,AA Batteries (4-pack)
8666,184832,Wired Headphones
8674,184840,AA Batteries (4-pack)
8675,184840,USB-C Charging Cable
8688,184853,Vareebadd Phone
8689,184853,Wired Headphones
8698,184862,Apple Airpods Headphones
8699,184862,Lightning Charging Cable
8776,184939,Google Phone
8777,184939,USB-C Charging Cable
8794,184956,Bose SoundSport Headphones
8795,184956,AAA Batteries (4-pack)
8818,184979,Vareebadd Phone
8819,184979,USB-C Charging Cable
8843,185003,ThinkPad Laptop
8844,185003,USB-C Charging Cable
8893,185052,Google Phone
8894,185052,USB-C Charging Cable
8895,185052,Wired Headphones
8910,185066,USB-C Charging Cable
8911,185066,Apple Airpods Headphones
8956,185111,Vareebadd Phone
8957,185111,USB-C Charging Cable
8965,185119,Macbook Pro Laptop
8966,185119,Wired Headphones
8977,185130,iPhone
8978,185130,Lightning Charging Cable
9008,185160,iPhone
9009,185160,Wired Headphones
9016,185167,AAA Batteries (4-pack)
9017,185167,Wired Headphones
9052,185201,Vareebadd Phone
9053,185201,Apple Airpods Headphones
9056,185204,Lightning Charging Cable
9057,185204,27in 4K Gaming Monitor
9080,185227,Google Phone
9081,185227,USB-C Charging Cable
9162,185308,Vareebadd Phone
9163,185308,34in Ultrawide Monitor
9166,185311,Google Phone
9167,185311,Wired Headphones
9200,185343,Google Phone
9201,185343,USB-C Charging Cable
9222,185364,Vareebadd Phone
9223,185364,USB-C Charging Cable
9258,185399,AA Batteries (4-pack)
9259,185399,27in FHD Monitor
9265,185405,iPhone
9266,185405,Lightning Charging Cable
9299,185437,Vareebadd Phone
9300,185437,Bose SoundSport Headphones
9314,185451,20in Monitor
9315,185451,USB-C Charging Cable
9316,185452,Google Phone
9317,185452,USB-C Charging Cable
9318,185452,Wired Headphones
9350,185483,iPhone
9351,185483,Lightning Charging Cable
9384,185516,Bose SoundSport Headphones
9385,185516,Wired Headphones
9395,185526,iPhone
9396,185526,Lightning Charging Cable
9404,185534,iPhone
9405,185534,Lightning Charging Cable
9522,185649,Vareebadd Phone
9523,185649,AA Batteries (4-pack)
9541,185667,iPhone
9542,185667,AAA Batteries (4-pack)
9559,185684,Apple Airpods Headphones
9560,185684,ThinkPad Laptop
9606,185728,USB-C Charging Cable
9607,185728,27in FHD Monitor
9632,185753,AA Batteries (4-pack)
9633,185753,Lightning Charging Cable
9645,185764,USB-C Charging Cable
9646,185764,ThinkPad Laptop
9746,185862,iPhone
9747,185862,Lightning Charging Cable
9753,185868,Wired Headphones
9754,185868,AA Batteries (4-pack)
9759,185873,Apple Airpods Headphones
9760,185873,Wired Headphones
9807,185920,27in FHD Monitor
9808,185920,USB-C Charging Cable
9817,185929,Google Phone
9818,185929,USB-C Charging Cable
9882,185993,Wired Headphones
9883,185993,AA Batteries (4-pack)
9901,186010,Flatscreen TV
9902,186010,Lightning Charging Cable
9911,186019,USB-C Charging Cable
9912,186019,Vareebadd Phone
9938,186044,Vareebadd Phone
9939,186044,Wired Headphones
9966,186071,Google Phone
9967,186071,Bose SoundSport Headphones
9975,186078,27in FHD Monitor
9976,186078,USB-C Charging Cable
9994,186096,Google Phone
9995,186096,USB-C Charging Cable
10016,186117,Google Phone
10017,186117,USB-C Charging Cable
10039,186139,AA Batteries (4-pack)
10040,186139,iPhone
10059,186158,iPhone
10060,186158,Lightning Charging Cable
10128,186226,Google Phone
10129,186226,USB-C Charging Cable
10145,186242,AAA Batteries (4-pack)
10146,186242,AA Batteries (4-pack)
10175,186271,Vareebadd Phone
10176,186271,AA Batteries (4-pack)
10189,186284,iPhone
10190,186284,Lightning Charging Cable
10194,186288,iPhone
10195,186288,Wired Headphones
10238,186331,AAA Batteries (4-pack)
10239,186331,AAA Batteries (4-pack)
10271,186362,Wired Headphones
10272,186362,Lightning Charging Cable
10280,186370,Google Phone
10281,186370,USB-C Charging Cable
10295,186384,iPhone
10296,186384,Wired Headphones
10317,186405,Lightning Charging Cable
10318,186405,AAA Batteries (4-pack)
10332,186419,iPhone
10333,186419,Lightning Charging Cable
10350,186436,Google Phone
10351,186436,Wired Headphones
10402,186487,AA Batteries (4-pack)
10403,186487,34in Ultrawide Monitor
10448,186532,Google Phone
10449,186532,USB-C Charging Cable
10450,186533,Google Phone
10451,186533,USB-C Charging Cable
10470,186552,Vareebadd Phone
10471,186552,Wired Headphones
10519,186600,Google Phone
10520,186600,USB-C Charging Cable
10549,186629,Vareebadd Phone
10550,186629,USB-C Charging Cable
10554,186633,Vareebadd Phone
10555,186633,USB-C Charging Cable
10591,186669,Google Phone
10592,186669,USB-C Charging Cable
10637,186714,Wired Headphones
10638,186714,Apple Airpods Headphones
10646,186722,Google Phone
10647,186722,Bose SoundSport Headphones
10678,186753,Google Phone
10679,186753,Wired Headphones
10718,186791,Apple Airpods Headphones
10719,186791,Wired Headphones
10755,186827,Apple Airpods Headphones
10756,186827,AA Batteries (4-pack)
10757,186828,Google Phone
10758,186828,Wired Headphones
10761,186831,iPhone
10762,186831,Wired Headphones
10793,186862,AAA Batteries (4-pack)
10794,186862,USB-C Charging Cable
10805,186873,ThinkPad Laptop
10806,186873,Bose SoundSport Headphones
10838,186904,Google Phone
10839,186904,USB-C Charging Cable
10840,186904,Wired Headphones
10879,186943,Google Phone
10880,186943,USB-C Charging Cable
10894,186956,AA Batteries (4-pack)
10895,186956,Wired Headphones
10928,186989,Lightning Charging Cable
10929,186989,AA Batteries (4-pack)
10938,186998,Vareebadd Phone
10939,186998,USB-C Charging Cable
10979,187037,Google Phone
10980,187037,USB-C Charging Cable
11024,187081,Google Phone
11025,187081,USB-C Charging Cable
11052,187108,iPhone
11053,187108,Lightning Charging Cable
11071,187126,Bose SoundSport Headphones
11072,187126,34in Ultrawide Monitor
11118,187172,Lightning Charging Cable
11119,187172,20in Monitor
11162,187215,iPhone
11163,187215,Lightning Charging Cable
11209,187261,iPhone
11210,187261,Lightning Charging Cable
11256,187307,AA Batteries (4-pack)
11257,187307,27in FHD Monitor
11309,187357,iPhone
11310,187357,Lightning Charging Cable
11322,187369,Google Phone
11323,187369,Wired Headphones
11340,187385,Lightning Charging Cable
11341,187385,Google Phone
11361,187405,iPhone
11362,187405,Lightning Charging Cable
11380,187423,Vareebadd Phone
11381,187423,Wired Headphones
11400,187442,Vareebadd Phone
11401,187442,USB-C Charging Cable
11412,187453,Apple Airpods Headphones
11413,187453,Bose SoundSport Headphones
11423,187463,Google Phone
11424,187463,USB-C Charging Cable
11425,187463,Wired Headphones
11426,187464,iPhone
11427,187464,Lightning Charging Cable
11432,187469,Apple Airpods Headphones
11433,187469,Lightning Charging Cable
11495,187530,34in Ultrawide Monitor
11496,187530,Wired Headphones
11500,187534,Google Phone
11501,187534,Lightning Charging Cable
11514,187547,Google Phone
11515,187547,Wired Headphones
11548,187579,34in Ultrawide Monitor
11549,187579,AA Batteries (4-pack)
11576,187605,Flatscreen TV
11577,187605,27in 4K Gaming Monitor
11581,187609,iPhone
11582,187609,Lightning Charging Cable
11609,187636,iPhone
11610,187636,Lightning Charging Cable
11611,187636,Wired Headphones
11623,187647,Google Phone
11624,187647,USB-C Charging Cable
11674,187697,Wired Headphones
11675,187697,iPhone
11681,187703,iPhone
11682,187703,Apple Airpods Headphones
11692,187713,USB-C Charging Cable
11693,187713,Flatscreen TV
11721,187741,Google Phone
11722,187741,27in FHD Monitor
11806,187822,iPhone
11807,187822,Lightning Charging Cable
11857,187872,USB-C Charging Cable
11858,187872,ThinkPad Laptop
11875,187888,iPhone
11876,187888,Wired Headphones
11921,187932,Vareebadd Phone
11922,187932,USB-C Charging Cable
11945,187955,Google Phone
11946,187955,USB-C Charging Cable
11958,187967,Vareebadd Phone
11959,187967,USB-C Charging Cable
11963,187970,Google Phone
11964,187970,USB-C Charging Cable
11972,187978,Google Phone
11973,187978,Bose SoundSport Headphones
12021,188026,27in FHD Monitor
12022,188026,Wired Headphones
12024,188028,AAA Batteries (4-pack)
12025,188028,USB-C Charging Cable
12035,188038,iPhone
12036,188038,Lightning Charging Cable
12068,188070,34in Ultrawide Monitor
12069,188070,USB-C Charging Cable
12076,188077,iPhone
12077,188077,Lightning Charging Cable
