Episode_title	Episode_runtime	Released_on
The Gada Family Is Going Out Of Their Limits To Welcome Daya's Brother	20 mins	28 Aug 2008
Sunders New Scheme	19 mins	28 Aug 2008
Jethalal Is Apprehensive About Sunder's Scheme	18 mins	28 Aug 2008
Jethalal Is Suspicious About Sunder	19 mins	28 Aug 2008
Jethalal Worries About Sunder Committing Some Fraud	19 mins	28 Aug 2008
Gokuldham Members Are Enraged At Jethalal	14 mins	28 Aug 2008
Sunder Gives Them A Surprising News	19 mins	28 Aug 2008
Tapu's Strike Against His School Authority	19 mins	28 Aug 2008
The Principal Summons The Parents	19 mins	28 Aug 2008
Tapu And His Army Are Not Ready To End The Strike	18 mins	28 Aug 2008
Daya Plans To Celebrate Her 25th Wedding Anniversary	18 mins	28 Aug 2008
Jethalal Is Disturbed By The Presence Of Two Ladies	18 mins	28 Aug 2008
Sweety Threatens To Commit Suicide	18 mins	28 Aug 2008
Tapu Finds Proof	18 mins	28 Aug 2008
Daya Accidently Insults Jethalal	19 mins	28 Aug 2008
Champaklal Decides To Get Tapu Married	18 mins	28 Aug 2008
Tapu Decides To Marry	17 mins	28 Aug 2008
Sonu's Marriage Proposal For Tapu	19 mins	28 Aug 2008
Bhide's Final Answer	19 mins	28 Aug 2008
Daya Is Excited For Tapu's Marriage	19 mins	28 Aug 2008
Gada Convinces Everybody For Tapu's Marriage	18 mins	28 Aug 2008
Tapu's Marriage Rituals	18 mins	28 Aug 2008
Jethalal Tensed In Tapu's Marriage	18 mins	28 Aug 2008
Daya Has Entered A Quarrel	19 mins	28 Aug 2008
Jethalal Watches Tapu's Marriage	19 mins	28 Aug 2008
Jethalal Has Smelled Trouble	18 mins	30 Aug 2008
Taarak Is Against Child Marriage	18 mins	30 Aug 2008
Lohri Is Round The Corner	18 mins	30 Aug 2008
Sodhi Has Lied	19 mins	30 Aug 2008
Drunk Roshan Singh Sodhi	18 mins	30 Aug 2008
Sodhi's Efforts	18 mins	30 Aug 2008
Celebrations Of Lohri In Gokuldham Society	19 mins	30 Aug 2008
Gokuldham Society Is In Mood For Celebrations	19 mins	30 Aug 2008
Kite Flying Competition Between Jetha And Sodhi	18 mins	30 Aug 2008
Dr	19 mins	30 Aug 2008
Dr	18 mins	30 Aug 2008
Clash Of Plans	19 mins	30 Aug 2008
Taarak Declares A Cultural Dance Program	19 mins	30 Aug 2008
Special Guest In Gokuldham's Cultural Dance Program	18 mins	30 Aug 2008
Winner Of Gokuldham's Cultural Dance Program	18 mins	30 Aug 2008
Babita Suggests Jethalal To Exercise	19 mins	30 Aug 2008
Jethalal Starts Dieting	19 mins	30 Aug 2008
Jethalal Is Excited To Go For Exercise With Babita	18 mins	30 Aug 2008
A Burglar Snatches Jethalal's Mobile	19 mins	30 Aug 2008
Jethalal And His Family Reach The Theatre	19 mins	30 Aug 2008
Daya Gave Away Jethalal's New Pants	19 mins	30 Aug 2008
Blanket Donation Fraud	17 mins	30 Aug 2008
Champaklal Gets Arrested	18 mins	30 Aug 2008
Police Abduct Bapuji	17 mins	30 Aug 2008
Champaklal In Jail	19 mins	30 Aug 2008
Real Thief Confesses His Crime	19 mins	30 Aug 2008
Maid becomes A Huge Trouble For Gokuldham Society Wives	19 mins	30 Aug 2008
Daya Asks Jethalal For Another Mobile Phone For Rukmani	19 mins	30 Aug 2008
Rukmani Confesses Her Problems To Daya	17 mins	30 Aug 2008
Gokuldham Men Try Their Hand At Doing All Household Tasks	18 mins	30 Aug 2008
Hunt For Maid Begins In Gokuldham	18 mins	30 Aug 2008
A New Helper	19 mins	30 Jun 2020
A Good News	19 mins	30 Jun 2020
Lovely Is Trying To Divide	19 mins	30 Aug 2008
Crazy Toothpaste Is Making Gokuldham Go Crazy	18 mins	30 Aug 2008
Bhide Is Struggling With The Whistle Stuck In His Throat	18 mins	30 Aug 2008
Daya's Trick Works On Bhide	19 mins	30 Aug 2008
Bhide Doesn't Want The Society To Celebrate Holi	19 mins	30 Aug 2008
Sunder Promises To Call Shahrukh Khan And Sachin Tendulkar	17 mins	30 Aug 2008
Sachin Tendulkar And Shahrukh Khan Arrive In Gokuldham	18 mins	30 Aug 2008
Gokuldham Society Celebrates Holi	18 mins	30 Aug 2008
Sunder's Friend Chhagan And Magan Are In Mumbai	19 mins	30 Aug 2008
Jethalal Made A Mistake By Giving 20,000 to Magan	18 mins	30 Aug 2008
Zoravar Comes With 3 Burly Looking Men To Jetha's House	17 mins	30 Aug 2008
Zoravar Is Taking Jethalal To Ahmedabad	19 mins	30 Aug 2008
Tapu Tells His Father That He Won't Write His Exams	19 mins	30 Aug 2008
Abdul Promises To Help Tapu  To Cheat In The Exams	19 mins	30 Aug 2008
Tapu Gets Caught In Exams	17 mins	30 Aug 2008
Tapu Is Buying The Question Paper	19 mins	30 Aug 2008
Fight Between Babita And Mr Iyer	18 mins	30 Aug 2008
Babita Decides To Leave Mr Iyer's Home	18 mins	30 Aug 2008
Police Comes And Arrests Iyer For Beating Babita	18 mins	30 Aug 2008
A Candidate Wants Jethalal To Donate 10 TV Sets	19 mins	30 Aug 2008
Gada Family Organises A Function	18 mins	10 Jun 2020
A Dental Appointment	18 mins	30 Jun 2020
Jethalal Fails To Break The Walnut With His Teeth	19 mins	30 Aug 2008
Jethalal Afraid Of Visiting A Dentist	18 mins	30 Aug 2008
Hooligan Gives A Tight Slap To Jethalal	18 mins	30 Aug 2008
Mehta's Wife Has Injured Her Foot	18 mins	30 Aug 2008
Taarak Mehta Gives The Passes To Dharmesh	19 mins	30 Aug 2008
Jaggu Is Looking For Taarak To Beat Him	18 mins	30 Aug 2008
Jaggu Surprises Mehta By Dropping In Suddenly At Night	19 mins	30 Aug 2008
Jethalal Refuses To Take Tapu For The Picnic	19 mins	30 Aug 2008
Tapu Sena Go On A Rebellion By Not Playing Cricket	19 mins	30 Aug 2008
Natu Kaka Gets An Expensive Camera For Tapu	19 mins	30 Aug 2008
Gogi Is Lost	17 mins	30 Aug 2008
Search For Gogi Begins	19 mins	30 Aug 2008
Anjali Suggests Them To Organize A Kitty Party	19 mins	30 Aug 2008
Men Are Excited For The Kitty Party	19 mins	30 Aug 2008
Wives Pressurize Bhide To Allow Madhavi To Join The Kitty Party	18 mins	30 Aug 2008
Cat Fight Amongst The Ladies	16 mins	30 Aug 2008
Daya Vs Madhavi	19 mins	30 Aug 2008
Robbery Scenes	19 mins	30 Aug 2008
Chain Snatching	18 mins	30 Aug 2008
Daya Hides Twenty Five Lakhs	17 mins	30 Aug 2008
Police Chaos	18 mins	30 Aug 2008
Daya's Mistake	19 mins	30 Aug 2008
New Watchman	19 mins	30 Aug 2008
Jethalal At Gunpoint	18 mins	30 Aug 2008
A Friendly Tip	17 mins	30 Aug 2008
Let's Catch The Thieves	19 mins	30 Aug 2008
Tapu's Team Training	18 mins	30 Aug 2008
Tapu Sena Vs The Theives	17 mins	30 Aug 2008
Tapu Sena's Interview	19 mins	30 Aug 2008
Sweets Or Salad?	18 mins	30 Aug 2008
Popatlal Is Coming Back	18 mins	30 Aug 2008
Problematic Popatlal	19 mins	30 Aug 2008
Breaking The Lock	19 mins	30 Aug 2008
Jethalal's Lucky Shirt	18 mins	30 Aug 2008
Gujarati To Chinese	19 mins	30 Aug 2008
Daya's Vow Of Silence	19 mins	30 Aug 2008
Daya's Silence	17 mins	30 Aug 2008
Jethalal Woos Daya	20 mins	30 Aug 2008
Goli's Cousin	20 mins	30 Aug 2008
Cruel Monty	18 mins	30 Aug 2008
The Bet	21 mins	08 Jan 2020
Gokuldham Premiere League	19 mins	08 Jan 2020
Jabardast Jetha VS Bindass Bhide	19 mins	08 Jan 2020
Getting Ready For The Match	18 mins	08 Jan 2020
It's Showtime!	19 mins	08 Jan 2020
Daya Does Wonders	19 mins	08 Jan 2020
A Tight Competition	19 mins	08 Jan 2020
Mayhem In The Match	18 mins	08 Jan 2020
The Breakfast Affair	19 mins	08 Jan 2020
Jethalal Romances With Daya	17 mins	08 Jan 2020
Jethalal Looks After The Kid	17 mins	08 Jan 2020
Awkward Situation Between Jethalal And Babita	19 mins	08 Jan 2020
Dr	20 mins	08 Jan 2020
Jethalal Seeks For Babita's Attention	18 mins	08 Jan 2020
Jethalal Misinterpreted The Situation	19 mins	08 Jan 2020
Jethalal Gets Panicky	18 mins	08 Jan 2020
Struggle Of Jethalal	19 mins	08 Jan 2020
One Problem At A Time	19 mins	08 Jan 2020
Finally Party Time	19 mins	08 Jan 2020
Daya Astonishes Everyone	18 mins	08 Jan 2020
One Night, Two Different Plans	18 mins	08 Jan 2020
Realization	17 mins	08 Jan 2020
Battle Of Antakshari	37 mins	08 Jan 2020
Meeting At Sodhis	18 mins	08 Jan 2020
Gokuldham's  Anniversary Celebration Begins	36 mins	08 Jan 2020
Raju Srivastav Visits Gokuldham	36 mins	08 Jan 2020
The Gadas Plan On A Trip	FULL_HD119 mins	08 Jan 2020
Tapu's Essay	20 mins	08 Jan 2020
Jetha Lal's Trip To London	FULL_HD120 mins	28 Jul 2009
Raksha Bhandan At Gokuldham Society	19 mins	08 Jan 2020
London Trip Canceled	20 mins	08 Jan 2020
Jethas Preparation For London	20 mins	08 Jan 2020
Jetha's Send Off	20 mins	08 Jan 2020
Jethas Digestive Pills	20 mins	08 Jan 2020
Sundarlal Helps Tappu Sena	FULL_HD140 mins	08 Jan 2020
Dahi Handi Competition At Gokuldham	17 mins	08 Jan 2020
Prevention Against Swine Flu	16 mins	08 Jan 2020
Bhide The Philosopher	18 mins	08 Jan 2020
Roshan Bhabi's Party	19 mins	08 Jan 2020
Preparations For Ganesh Chaturti	FULL_HD119 mins	08 Jan 2020
Jetha In London	19 mins	08 Jan 2020
Daya Misses Jethalal	19 mins	08 Jan 2020
Ethnic Day Contest At Gokuldham Society	19 mins	08 Jan 2020
Garba At Gada Electronics	19 mins	08 Jan 2020
Couples Shayari Time At Gokuldham Society	17 mins	08 Jan 2020
Daya's Shayari On Jethalal	19 mins	08 Jan 2020
Robbery At Gokuldham!	38 mins	08 Jan 2020
Remembering Funny Incidents From The Past	18 mins	08 Jan 2020
Daya Misses Jethalal	17 mins	08 Jan 2020
Jethalal Returns From London	18 mins	08 Jan 2020
Gifts From London	19 mins	08 Jan 2020
No Gift For Iyer	18 mins	08 Jan 2020
Jethalal Back To His Lazy Practices	18 mins	08 Jan 2020
Jethalals New Look	19 mins	08 Jan 2020
Jethalal's New Friend From London	19 mins	08 Jan 2020
Jethalals Intervention	17 mins	08 Jan 2020
Jethalal Is Angry	19 mins	08 Jan 2020
Goli Sees Jethalal Getting A Haircut	20 mins	08 Jan 2020
Karie Visits The Gadas	21 mins	08 Jan 2020
Karie Loves Gokuldham	21 mins	08 Jan 2020
Navaratri At Gokuldham Society	21 mins	08 Jan 2020
Popatlal Has Fallen In Love	21 mins	08 Jan 2020
Popatlal's Demand	21 mins	08 Jan 2020
Navaratri At Ahmedabad	21 mins	08 Jan 2020
Popatlal Stuck In Ahmedabad	21 mins	08 Jan 2020
Jethalal Unhappy About Popatlal's Crush	20 mins	08 Jan 2020
Popatlal Gets A Makeover To Impress	21 mins	08 Jan 2020
Popatlal's Disastrous Date With Kerry	21 mins	08 Jan 2020
Jethalal The Villain	FULL_HD121 mins	08 Jan 2020
Jethalal And Diwali Games	20 mins	08 Jan 2020
Ajay Devgan Visits The Gadas	FULL_HD120 mins	08 Jan 2020
Diwali With Gokuldham	21 mins	08 Jan 2020
Jethalal Gets A Mobile For Babita	21 mins	08 Jan 2020
Sundar Takes The Red Cherry Phone Away	21 mins	08 Jan 2020
Jetha In Trouble	21 mins	08 Jan 2020
Daya Vs Jetha	21 mins	30 Jun 2020
Jethalal And Daya At War	FULL_HD121 mins	08 Jan 2020
Daya Leaves Jethalal	21 mins	08 Jan 2020
Jethalal Seeks For Taarak's Help	20 mins	08 Jan 2020
Too Many Mobile Phones	21 mins	08 Jan 2020
Champaklal Solves The Problem	21 mins	08 Jan 2020
Tappu Wins A Prize At The Camp	21 mins	08 Jan 2020
Taarak's Mind Block	21 mins	08 Jan 2020
Tappu Sena's TV Ad	22 mins	08 Jan 2020
Audition Day	20 mins	08 Jan 2020
Daya Admires Sodhi	21 mins	08 Jan 2020
Roshan Singh Sodhi Is Disappointed	22 mins	08 Jan 2020
Gogi Sodhi Is Angry	20 mins	08 Jan 2020
Daya Is Excited For Tappu	21 mins	08 Jan 2020
Lights, Camera, Power Off!	22 mins	08 Jan 2020
Tappu Sena Is Famous	23 mins	08 Jan 2020
Tappu Has A Plan To Make Gogi Feel Special	19 mins	08 Jan 2020
Gogi Goes Missing	21 mins	08 Jan 2020
Mr	21 mins	08 Jan 2020
Gokuldham Society Visit The Police Station	21 mins	08 Jan 2020
Tappu Sena In Trouble	21 mins	08 Jan 2020
The Police Create A Fuss	21 mins	08 Jan 2020
Taarak Is Sick Of Diet Food	20 mins	08 Jan 2020
Stubborn Champaklal	19 mins	08 Jan 2020
Babita Decides To Join A Club	20 mins	08 Jan 2020
Babita Influences The Ladies To Take Swimming Classes	19 mins	08 Jan 2020
Jethalal Also Wants To Learn Swimming	20 mins	08 Jan 2020
Jethalal Asks Babita To Teach Him Swimming	20 mins	08 Jan 2020
Ladies Have Fun At The Swimming Club	27 mins	08 Jan 2020
Men Want To Swim Too	18 mins	08 Jan 2020
Jethalal As A Sardar	19 mins	08 Jan 2020
Jethalal Saves The Day	19 mins	08 Jan 2020
Champak Intervenes Jethalal's Romantic Mood	19 mins	08 Jan 2020
Jethalal Gets Robbed	19 mins	08 Jan 2020
Tapu's Last Examination	20 mins	08 Jan 2020
Goli Wants A Vacation	19 mins	08 Jan 2020
Operation Christmas Celebration	19 mins	08 Jan 2020
Guess The Santa	21 mins	08 Jan 2020
Nattu Kaka Dances At Gada Electronics	20 mins	08 Jan 2020
All Men's Party	20 mins	08 Jan 2020
Sundar Tears Jetha's Party Passes	41 mins	08 Jan 2020
Sundar's Party	20 mins	08 Jan 2020
Dance Till  You Drop	FULL_HD120 mins	08 Jan 2020
Jethalal's Dream Come True	FULL_HD121 mins	08 Jan 2020
The Ladies Fool Their Husbands	19 mins	08 Jan 2020
Popatlal Is Angry	FULL_HD117 mins	08 Jan 2020
Popatlal VS Bhide	20 mins	08 Jan 2020
Taarak Invites Everyone To The Garden Early In the Morning	19 mins	08 Jan 2020
Gokuldham Laughing Club	19 mins	08 Jan 2020
Gadas Go To Ahmedabad	FULL_HD118 mins	08 Jan 2020
Makar Sakranti Preparations	19 mins	08 Jan 2020
Makar Sankranti Celebrations	20 mins	08 Jan 2020
The Disappointing Roadtrip	19 mins	08 Jan 2020
Dr	39 mins	08 Jan 2020
Mehta's Mater Plan	20 mins	08 Jan 2020
Republic Day Preparations	20 mins	08 Jan 2020
The Best Republic Day Speech	19 mins	08 Jan 2020
The Speech	18 mins	08 Jan 2020
Patriotic Residents Of Gokuldham	20 mins	08 Jan 2020
Bhide Thinks Of Buying A Computer	FULL_HD118 mins	08 Jan 2020
Bhide On The Hunt To Buy A Computer	20 mins	08 Jan 2020
Bhide Misunderstands Jethalal	18 mins	08 Jan 2020
Bhide Finally Places The Order With Jethalal	19 mins	08 Jan 2020
Bhide's Horoscope And Computer Delivery Time Do Not Match	18 mins	08 Jan 2020
Bhide Takes Computer Classes From Tapu	18 mins	08 Jan 2020
Valentine's Day Is Coming!	18 mins	08 Jan 2020
Gokuldham Men vs Gokuldham Women	41 mins	08 Jan 2020
Wives Demand A Valentines Day Celebration	18 mins	08 Jan 2020
Shanti Hawan In Gokuldham Society	19 mins	08 Jan 2020
Love Is In The Air	17 mins	08 Jan 2020
Valentine's Day Celebration	18 mins	08 Jan 2020
Jethalal Proposes To Daya	19 mins	08 Jan 2020
Komal And Dr	FULL_HD119 mins	08 Jan 2020
Popatlal's Speech On Valentine's Day	18 mins	08 Jan 2020
Daya Wants To Go To Goa	20 mins	08 Jan 2020
Bhide Is Angry At Tappu Sena	19 mins	08 Jan 2020
Iyer's Master Plan	19 mins	08 Jan 2020
Jethalal Is On Cloud Nine	17 mins	08 Jan 2020
No More A Secret	19 mins	08 Jan 2020
Jethalal Gets The Shock Of His Life	41 mins	08 Jan 2020
Daya Restricts Jethalal From Playing Holi	19 mins	08 Jan 2020
Champaklal Cannot Fall Asleep	17 mins	08 Jan 2020
Security Measures	17 mins	08 Jan 2020
Everyone Appreciates Bhide	19 mins	08 Jan 2020
Another Crisis At Gokuldham	19 mins	08 Jan 2020
Sodhi's Risky Idea	18 mins	08 Jan 2020
Iyer Is Hurt	18 mins	08 Jan 2020
Umpteenth Attempt To Move The Truck	20 mins	08 Jan 2020
Mastermind Daya	17 mins	08 Jan 2020
Truck Full Of Weapons	20 mins	08 Jan 2020
Gokuldham Has A Robber	19 mins	08 Jan 2020
Exam Preparations	19 mins	08 Jan 2020
Tapu Caught Red-Handed	17 mins	08 Jan 2020
The Parent-Teacher Meeting	17 mins	08 Jan 2020
Champaklal Attends The Meeting	18 mins	08 Jan 2020
Progress Report	15 mins	08 Jan 2020
Bhide Is Furious	19 mins	08 Jan 2020
Sonu Is Lost	19 mins	08 Jan 2020
A Lesson For All The Parents	19 mins	08 Jan 2020
Cricket Discussion	20 mins	08 Jan 2020
Sodhi Is Excited About The Cricket Match	20 mins	08 Jan 2020
Gokuldham Is Excited About IPL	19 mins	08 Jan 2020
Ayushman Khurana Visits Gokuldham	18 mins	08 Jan 2020
Champaklal Catches Jethalal With A Bag	19 mins	08 Jan 2020
Daya's Saree Collection	18 mins	08 Jan 2020
Women Plan To Go Shopping	20 mins	08 Jan 2020
Jethalal Understands Daya	20 mins	08 Jan 2020
The Ladies Are Scammed	19 mins	08 Jan 2020
Daya Is In A Fix	18 mins	08 Jan 2020
The Ladies Lodge A Police Complaint	19 mins	08 Jan 2020
Garba Andolan	20 mins	08 Jan 2020
Fight For Justice	20 mins	08 Jan 2020
Ladies Under Arrest	20 mins	08 Jan 2020
Good News For Mehta	20 mins	08 Jan 2020
Abdul Has Competition	20 mins	08 Jan 2020
Cricket War	20 mins	08 Jan 2020
Tappu Sleeps Early	20 mins	08 Jan 2020
Kids And Modern Technology	19 mins	08 Jan 2020
Let's Play!	19 mins	08 Jan 2020
Fun Day At Gokuldham Society	20 mins	08 Jan 2020
Scarf Game	16 mins	08 Jan 2020
Bad Day For Bhide	19 mins	08 Jan 2020
Komals Complaint Against Goli	18 mins	08 Jan 2020
Tappu And Sonu's Result Day	17 mins	08 Jan 2020
Black Money	18 mins	08 Jan 2020
Mehta Talks About Black Money	18 mins	08 Jan 2020
Mehta Needs A Lift	19 mins	08 Jan 2020
Where Is The Money?	17 mins	08 Jan 2020
Bhide Is The New Suspect	20 mins	08 Jan 2020
Bharat Threatens Jethalal	21 mins	08 Jan 2020
Tappu Sena Wastes Water	20 mins	08 Jan 2020
Water Conservation	20 mins	08 Jan 2020
Water Problem Because Of Sodhi	21 mins	08 Jan 2020
Gadas Have Too Many Visitors	18 mins	08 Jan 2020
The Water War	20 mins	08 Jan 2020
Gadas Facing Trouble	20 mins	08 Jan 2020
Daya Makes Everything Fun	20 mins	08 Jan 2020
Popatlal The Water Thief	18 mins	08 Jan 2020
Mehta Plans To Write An Article On Children	20 mins	08 Jan 2020
It's GPL Time	20 mins	08 Jan 2020
Jethalal Against Gokuldam Premier League	19 mins	08 Jan 2020
Pre Plans For GPL 2	20 mins	08 Jan 2020
Gokuldham Teams Rigorous Training	18 mins	08 Jan 2020
Long Awaited Moment Arrives	20 mins	08 Jan 2020
Blaster Babita Versus Daya Dandiya Devil	19 mins	08 Jan 2020
Fun Packed GPL Match	20 mins	08 Jan 2020
Babita Does The Bating	20 mins	08 Jan 2020
Roles Reverse In The Match	22 mins	08 Jan 2020
Parthiv Patel Reviews The GPL Match	19 mins	08 Jan 2020
Captain Daya Enters The Feild For Bating	20 mins	08 Jan 2020
The Last Ball	19 mins	08 Jan 2020
Daya Dandiya Devil Team Wins The GPL 2 Match	20 mins	08 Jan 2020
Silence After The Storm	20 mins	09 Jan 2020
Tapu Learns A Life Lesson	20 mins	09 Jan 2020
Champaklal Loses His Money Bag	20 mins	09 Jan 2020
Man Of The Match	20 mins	09 Jan 2020
Sodhi Leaves Without Informing	17 mins	09 Jan 2020
Sodhi's Dream Come True	19 mins	09 Jan 2020
Jethalal's Childhood Photos	16 mins	09 Jan 2020
Jethalal Helps Babita	18 mins	09 Jan 2020
Jethalal's Weird Hairstyle	20 mins	09 Jan 2020
Will Jetha Go Bald?	20 mins	30 Jun 2020
Daya's Trick	20 mins	30 Jun 2020
Nattu Kaka's Love For Jetha	20 mins	30 Jun 2020
Champakal Sees A Ghost	20 mins	30 Jun 2020
Daya's Plan	20 mins	09 Jan 2020
Bhide Is Scared	17 mins	09 Jan 2020
Men To Guard The Society	20 mins	09 Jan 2020
Jethalal Meets A Strange Person	21 mins	09 Jan 2020
Iyer And Popatlal Encounter With The Ghost	20 mins	09 Jan 2020
Black Magic For The Ghost	20 mins	09 Jan 2020
Gokuldham Member's See The Ghost	20 mins	09 Jan 2020
Another Ghost In Gokuldham	17 mins	09 Jan 2020
The Ghost Story Is Revealed	20 mins	09 Jan 2020
Tapu Tells A Story	20 mins	09 Jan 2020
Parcel For Mehta	20 mins	09 Jan 2020
Love Letter For Taarak	20 mins	09 Jan 2020
Anjali's Sister Koyal	19 mins	09 Jan 2020
Popatlal Dreams About Koyal	18 mins	09 Jan 2020
Lunch At The Gada House	20 mins	09 Jan 2020
Popatlal Proposes Koyal	19 mins	09 Jan 2020
Popatlal Throws A Party	19 mins	09 Jan 2020
Chaos All Around	18 mins	09 Jan 2020
Popatlal Takes The Poison	21 mins	09 Jan 2020
Goons In The Gokuldham Society	20 mins	09 Jan 2020
A Surprise Treat For Abdul	21 mins	09 Jan 2020
Competition In Gokuldham	20 mins	09 Jan 2020
Daya Is In Danger	19 mins	09 Jan 2020
Jethalal Is Heartbroken	20 mins	09 Jan 2020
Daya Responds	20 mins	09 Jan 2020
Daya Gains Consciousness	20 mins	30 Jun 2020
Champaklal Is Thankful To Daya	20 mins	30 Jun 2020
Jetha's Injury	20 mins	30 Jun 2020
Helpful Neighbours	20 mins	30 Jun 2020
Ganpati Celebrations	19 mins	30 Jun 2020
The Inspiration	20 mins	30 Jun 2020
The Punishment	20 mins	30 Jun 2020
The Singing Competition	21 mins	30 Jun 2020
Bhide Wins	19 mins	30 Jun 2020
Visitors Or Trespassers?	20 mins	30 Jun 2020
Singing Competition In Gokuldham	20 mins	09 Jan 2020
Winner Is Declared	20 mins	09 Jan 2020
Rishi And Neetu Kapoor Visit Gokuldham	19 mins	09 Jan 2020
Daya Teaches Garba To Rishi And Neetu	17 mins	09 Jan 2020
Jethalal Is Irritated	17 mins	09 Jan 2020
Angry Young Man	18 mins	09 Jan 2020
Daya Finds Out	18 mins	10 Jan 2020
Daya's Vow To Not Play Garba	18 mins	10 Jan 2020
John Abraham In Gokuldham	19 mins	10 Jan 2020
Champaklal's Pride	20 mins	10 Jan 2020
Iyer Plans A Surprise	20 mins	10 Jan 2020
Babita Is Unhappy	19 mins	10 Jan 2020
A Rant Against Husbands	19 mins	10 Jan 2020
Where Is The Surprise?	19 mins	10 Jan 2020
Babaita's Sports Car	19 mins	10 Jan 2020
Stolen Property	19 mins	10 Jan 2020
Will The Real Thief Be Caught?	19 mins	10 Jan 2020
Time Is Ticking	19 mins	10 Jan 2020
Taarak Comes Up With An Idea	17 mins	10 Jan 2020
Sodhi Plays Smart	20 mins	10 Jan 2020
Plan Successful	20 mins	10 Jan 2020
A Morning Walk?	20 mins	10 Jan 2020
Sundar's Scheme	19 mins	10 Jan 2020
Chanda Ramani's Flat	19 mins	10 Jan 2020
Sodhi Gives The Token Amount	18 mins	10 Jan 2020
All The Gifts For Bhide	19 mins	10 Jan 2020
Who Will Get The Flat?	18 mins	10 Jan 2020
Jethalal And Sodhi's Irrationality	17 mins	10 Jan 2020
